Date,City,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h)
2020-01-01,Mumbai,20.01,74.42,0.68,10.44
2020-01-01,Pune,16.82,79.31,0.94,20.71
2020-01-01,Nagpur,23.18,63.07,1.85,15.99
2020-01-01,Nashik,18.61,78.07,0.39,18.73
2020-01-01,Aurangabad,19.05,63.85,1.77,13.21
2020-01-01,Solapur,26.35,78.36,0.91,11.63
2020-01-01,Kolhapur,15.41,68.68,0.7,23.19
2020-01-01,Amravati,21.68,58.92,1.93,8.43
2020-01-02,Mumbai,22.18,53.21,0.06,11.61
2020-01-02,Pune,17.14,55.45,0.29,19.5
2020-01-02,Nagpur,22.82,57.99,1.82,21.92
2020-01-02,Nashik,19.68,64.67,0.39,6.89
2020-01-02,Aurangabad,21.91,77.72,1.29,14.19
2020-01-02,Solapur,22.49,69.89,1.94,21.64
2020-01-02,Kolhapur,17.36,59.03,0.73,17.03
2020-01-02,Amravati,25.43,66.94,1.44,15.22
2020-01-03,Mumbai,19.99,70.75,1.86,10.71
2020-01-03,Pune,21.33,73.15,0.47,20.95
2020-01-03,Nagpur,23.9,79.43,0.54,21.54
2020-01-03,Nashik,20.24,61.75,1.04,23.92
2020-01-03,Aurangabad,18.83,79.95,1.76,22.73
2020-01-03,Solapur,20.66,70.92,0.06,16.11
2020-01-03,Kolhapur,22.12,59.66,0.89,23.22
2020-01-03,Amravati,19.7,50.67,1.76,9.77
2020-01-04,Mumbai,19.97,51.36,1.87,23.97
2020-01-04,Pune,18.66,68.22,1.05,13.3
2020-01-04,Nagpur,21.48,55.44,0.42,10.91
2020-01-04,Nashik,17.66,55.47,1.08,6.48
2020-01-04,Aurangabad,20.74,59.19,1.45,8.26
2020-01-04,Solapur,20.28,68.93,1.18,12.31
2020-01-04,Kolhapur,16.64,68.23,1.83,11.85
2020-01-04,Amravati,22.66,77.22,1.86,24.19
2020-01-05,Mumbai,22.14,63.7,1.1,10.91
2020-01-05,Pune,15.96,70.89,1.56,8.91
2020-01-05,Nagpur,22.08,59.4,1.43,14.21
2020-01-05,Nashik,18.02,56.26,0.95,10.66
2020-01-05,Aurangabad,21.76,63.18,0.48,12.28
2020-01-05,Solapur,22.0,70.91,1.25,23.68
2020-01-05,Kolhapur,15.3,68.38,1.09,10.24
2020-01-05,Amravati,19.68,64.15,1.91,23.44
2020-01-06,Mumbai,21.01,63.17,0.59,14.64
2020-01-06,Pune,18.94,76.13,0.75,9.98
2020-01-06,Nagpur,21.85,73.11,0.69,20.61
2020-01-06,Nashik,19.06,55.92,0.98,13.94
2020-01-06,Aurangabad,20.32,60.62,0.83,22.13
2020-01-06,Solapur,21.34,50.78,0.27,24.89
2020-01-06,Kolhapur,21.26,76.47,0.28,7.19
2020-01-06,Amravati,18.5,53.7,1.63,6.14
2020-01-07,Mumbai,19.29,52.98,0.72,12.37
2020-01-07,Pune,18.6,68.09,1.94,7.13
2020-01-07,Nagpur,22.54,71.54,0.89,13.85
2020-01-07,Nashik,20.14,68.42,1.52,22.67
2020-01-07,Aurangabad,22.49,74.35,0.29,6.01
2020-01-07,Solapur,22.23,64.34,0.71,11.14
2020-01-07,Kolhapur,19.86,78.05,1.68,16.39
2020-01-07,Amravati,24.11,53.28,0.03,12.06
2020-01-08,Mumbai,20.59,71.54,0.94,8.11
2020-01-08,Pune,18.95,59.86,0.84,11.87
2020-01-08,Nagpur,20.23,50.88,0.55,22.27
2020-01-08,Nashik,15.53,54.24,1.55,20.88
2020-01-08,Aurangabad,21.77,76.2,0.16,20.33
2020-01-08,Solapur,19.07,72.44,1.45,7.08
2020-01-08,Kolhapur,18.01,59.69,0.64,14.88
2020-01-08,Amravati,22.21,62.04,1.66,16.28
2020-01-09,Mumbai,21.99,55.9,0.62,5.26
2020-01-09,Pune,19.42,70.07,1.43,6.95
2020-01-09,Nagpur,22.5,61.7,0.48,15.02
2020-01-09,Nashik,18.4,59.01,0.62,7.42
2020-01-09,Aurangabad,16.1,72.14,0.13,5.46
2020-01-09,Solapur,26.32,54.93,1.98,21.37
2020-01-09,Kolhapur,18.37,50.6,0.3,14.45
2020-01-09,Amravati,20.27,62.36,0.04,19.06
2020-01-10,Mumbai,21.48,69.58,1.88,19.33
2020-01-10,Pune,20.69,52.64,0.23,20.38
2020-01-10,Nagpur,22.61,52.46,1.07,11.07
2020-01-10,Nashik,20.03,79.42,1.19,8.49
2020-01-10,Aurangabad,18.73,78.05,1.1,20.49
2020-01-10,Solapur,21.02,70.98,0.87,24.62
2020-01-10,Kolhapur,20.16,63.49,1.72,13.99
2020-01-10,Amravati,25.01,54.85,1.85,18.12
2020-01-11,Mumbai,17.88,65.68,1.82,18.62
2020-01-11,Pune,19.44,71.25,0.48,9.39
2020-01-11,Nagpur,21.29,51.42,0.28,13.57
2020-01-11,Nashik,20.05,54.9,0.67,7.89
2020-01-11,Aurangabad,23.1,65.72,0.93,9.52
2020-01-11,Solapur,22.05,74.61,0.73,8.73
2020-01-11,Kolhapur,18.19,55.91,0.66,11.11
2020-01-11,Amravati,23.06,76.51,0.56,6.21
2020-01-12,Mumbai,17.63,68.81,0.87,22.78
2020-01-12,Pune,18.87,64.67,1.26,18.8
2020-01-12,Nagpur,23.73,52.92,0.48,6.38
2020-01-12,Nashik,19.58,65.11,0.44,6.12
2020-01-12,Aurangabad,19.54,69.94,0.64,7.27
2020-01-12,Solapur,23.9,72.29,1.01,16.19
2020-01-12,Kolhapur,13.89,63.55,1.67,14.09
2020-01-12,Amravati,20.69,63.03,1.26,18.26
2020-01-13,Mumbai,19.95,66.59,0.81,19.0
2020-01-13,Pune,17.74,54.87,0.83,16.53
2020-01-13,Nagpur,23.87,66.87,1.02,24.64
2020-01-13,Nashik,17.52,77.69,0.13,5.69
2020-01-13,Aurangabad,18.86,64.91,1.22,11.25
2020-01-13,Solapur,20.45,76.21,0.17,13.36
2020-01-13,Kolhapur,16.38,68.35,0.54,24.82
2020-01-13,Amravati,22.05,59.55,0.54,6.94
2020-01-14,Mumbai,17.41,63.01,1.6,9.25
2020-01-14,Pune,17.7,67.47,0.92,23.59
